ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop
224	23	200	7	33703	dua	19217	Dayoed	463	LSD	25
294	93	200	6	30434	Бежин луг	13690	zigizmund	55	WWW	282
1106	103	198	1	30695	the WALL-1	9801	tcc	55	WWW	344
1344	-60	197	1	33796	03 Sangreal	1237	Chief Shepherd	41	TİM +|+	42
1359	-45	197	3	30217	O ! O !	3465	0!0!	176	[IL]	138
1401	-3	197	2	33726	Новая деревня	562	Elisobeth	21	Тюлени	13
1507	103	197	7	28773	Új falu	431	Pom-Pom	63	KNlGHTS	166
1562	158	197	1	33064	000	959	rain	0		49
1610	-195	196	6	32677	01	1633	san	193	TASK	178
1746	-59	196	1	27962	02 Valos Cor	1237	Chief Shepherd	41	TİM +|+	265
1747	-58	196	6	30295	Babylon	10518	Zipperik	11	CZ ATD	184
1772	-33	196	1	32801	Letňany 1	4588	z64	11	CZ ATD	157
2014	-192	195	6	33547	قرية قديمة	2091	realprince	0		14
2057	-149	195	6	33086	Liverpool	2455	DVilla	600	DaC	67
2122	-84	195	6	32014	0	1848	Kaliban123	0		156
2365	159	195	6	27630	02 Alhambra	1987	Dagwin	63	KNlGHTS	307
2558	-49	194	1	33669	lubičkovce	1400	Brendy	11	CZ ATD	30
2714	107	194	6	29806	Каир	814	Mr.j	125	Ералаш	230
2928	-80	193	3	32828	New village	19875	D.max	176	[IL]	133
3012	4	193	1	31048	Antlia	11611	Roniga	11	CZ ATD	260
3212	-197	192	3	33321	Новая деревня	23010	mokoron	0		2
3616	-194	191	2	33488	1. croissants	30823	Ptyso	779	BEES	15
3617	-193	191	7	33468	01	19101	sprc	108	BRONX+	80
3882	72	191	1	33553	002	18563	Карманный Тигр	125	Ералаш	24
4163	-48	190	2	30926	00	133	Valecek	11	CZ ATD	153
4251	40	190	6	28856	02	9681	Lamanche	7	Zzz	259
4262	51	190	6	33764	02 - Manjaro	27721	Diviks	137	KNIGHTS3	6
4305	94	190	6	33335	ED2	17436	ete	384	VIK	45
4359	148	190	6	32750	03 Messina	1987	Dagwin	63	KNlGHTS	335
4603	-9	189	7	31039	Atilburg	3047	hefo	11	CZ ATD	165
4872	-141	188	1	32829	Nový Joudov	8974	Jouda	496	ŽUFÁNEK	67
5168	155	188	1	33108	00	940	kakadu	0		66
5273	-141	187	7	32961	Grecia	11749	King James	108	BRONX+	64
5422	8	187	2	32702	Oslo	174	London	55	WWW	177
5632	-183	186	3	33160	Asterix A	9078	Galactic	600	DaC	41
5875	60	186	6	26948	01. Замурррчательная	72	Мастер	55	WWW	276
5876	61	186	6	32771	02. Стриптиз Монашки	72	Мастер	55	WWW	167
6175	-41	185	1	29335	Nachcaldo Mandolíny	84	Poblitá hnáta	11	CZ ATD	244
6212	-4	185	3	31848	Akilis	222	GROF	11	CZ ATD	212
7167	149	183	6	30195	I	8065	kok	779	BEES	171
7382	-37	182	3	32489	fan 0	3647	fanfan	0		77
7437	18	182	6	32933	Москва	20838	Smexyek	239	WTF	166
7458	39	182	1	33789	Азкабан	32878	Мартишор	21	Тюлени	16
7642	-178	181	1	33400	02	24586	小心我車你	324	WORLD	71
7731	-89	181	6	33387	00.	26967	Buckycube	324	WORLD	76
7984	164	181	2	33623	Нов град	3391	marto70	0		29
8216	-5	180	6	33826	02 Jotunheim	44	Thor	11	CZ ATD	9
8514	-108	179	5	32291	Natars -108|179	1	Natars	0		38
8618	-4	179	6	27137	00 Midgard	44	Thor	11	CZ ATD	255
8691	69	179	7	28628	Kenny	1204	Mr. Garrison	21	Тюлени	206
9102	79	178	6	33378	Nuovo villaggio	31672	Viracocha	768	Claws	10
9320	-104	177	3	31406	Bongcloud	14046	Schackmannen	353	CZ ATD 2	244
9403	-21	177	3	33260	ONE.	4487	Bob2020	13	...	103
9743	-82	176	1	33541	Aldea nueva	12018	zider	685	[IL] X	59
9849	24	176	6	28527	Новая деревня	812	selov0203	28	DH	294
9870	45	176	1	30155	Новая деревня	424	lio	55	WWW	169
9893	68	176	1	30415	Точка притяжения	3575	La Que Sade	125	Ералаш	150
9981	156	176	3	31946	x	16190	Metalfighter	232	SAPO	49
10501	-126	174	6	28717	01 Azathoth	10123	Nyarlathotep	108	BRONX+	221
10626	-1	174	6	32019	B	16178	Nuff	176	[IL]	165
10646	19	174	6	32506	2	12882	lisakus	0		180
11053	25	173	6	28916	Duckburga	11820	Mickey Mouse	0		353
11094	66	173	6	30835	Stol	8566	BAUER	7	Zzz	103
11609	180	172	6	29414	02	11143	Rhein	28	DH	132
11888	58	171	3	30020	0 1	7501	Agra666	55	WWW	236
11924	94	171	6	27510	00 Столица	575	Mr Crowley	28	DH	257
12017	187	171	1	32756	New village	3197	Clown	52	420	114
12219	-12	170	6	33575	03	237	TTF	11	CZ ATD	95
12417	186	170	6	29633	01 CAPITAL	1792	d_w	358	h	256
12418	187	170	1	33666	Novo Selo	3232	James Deen	52	420	2
12523	-109	169	6	31388	Tokugawa 02	6064	Tokugawa	11	CZ ATD	223
12600	-32	169	6	33008	Ikarium	29330	Ikarium	324	WORLD	103
12620	-12	169	6	28619	02	237	TTF	11	CZ ATD	333
12655	23	169	1	29122	New village	4351	Necromonger	74	Пионеры	127
12679	47	169	1	30234	Скидыщ!	3309	BUGI	7	Zzz	225
12687	55	169	6	30120	Скажи ка дядя	2121	Облом	196	ДКС	81
12799	167	169	2	28954	Деревня	434	Хмурый монах	55	WWW	230
12817	185	169	6	33809	02 FMJAM	1792	d_w	358	h	3
12857	-176	168	6	32023	Los Solomas	3861	smoke	0		177
13354	-80	167	1	33506	1@1@1	33448	Dragce	51	PB	67
13490	56	167	6	32540	Новая деревня	10219	Oblom	196	ДКС	71
13575	141	167	3	33307	Fortas01	28935	saracenas	779	BEES	113
13759	-76	166	1	33835	111	3201	LOWER12	149	UR	11
13766	-69	166	7	33342	Halcsi 02	3473	Halcsi	0		67
13872	37	166	1	29618	Salah	8469	Jurgen Flopp	7	Zzz	148
13945	110	166	3	32460	02	6189	PUTNIK	0		93
13978	143	166	6	33652	BALUZA	1166	frounz	792	VBMS	44
14068	-168	165	1	29432	[00] Bull	315	BULL	84	TİM -I+	276
14228	-8	165	1	32316	Yester`s village	40568	Yester	0		8
14232	-4	165	3	32265	Деревня Montezuma	40442	Montezuma	0		15
14235	-1	165	3	32359	قرية xesed	40669	xesed	0		8
14298	62	165	3	29881	Baerlon	5073	Rand Al Thor	744	RdT	202
14381	145	165	6	32788	B	20215	Teddy	415	Teddy	198
14400	164	165	6	32798	Berchta	1283	Marfoux59	792	VBMS	103
14618	-19	164	7	32344	stonks00 Köyü	40633	stonks00	0		9
14621	-16	164	3	32338	NewFound Village	40623	Joel Maliyil	0		8
14627	-10	164	3	32123	Texas Oplotnica	40055	obarskij	0		196
14630	-7	164	3	32114	mist Dorp	40037	bokje	0		132
14641	4	164	6	32182	Viuhuland	40244	Viuhu	685	[IL] X	218
14649	12	164	6	32179	Vogtor	40106	Vogtor	0		58
14652	15	164	6	32367	01 uranio	40686	elpelle23	0		34
14719	82	164	6	27359	02 Candy Nights	4547	Blackmore	7	Zzz	208
14920	-118	163	3	32810	Selfie	20991	fit_insta_girl	685	[IL] X	38
14992	-46	163	1	30004	A	12119	FDAZ	0		213
15010	-28	163	1	32257	sasan	40421	sasan	0		88
15012	-26	163	3	32361	Деревня dorisa17	40672	dorisa17	0		10
15014	-24	163	6	32356	AtlantisLuan的村莊	40657	AtlantisLuan	0		19
15017	-21	163	1	32148	Dorf Dorf	40132	tru1	684	Кузены	229
15020	-18	163	3	32140	Albergas	40107	psilva	0		21
15033	-5	163	6	31851	Bałtyk	39438	Kaszub	0		204
15035	-3	163	3	31845	Aldeia do DaringErick	39426	DaringErick	0		13
15038	0	163	3	31910	Satul lui TnTcocolino	39527	TnTcocolino	0		8
15044	6	163	3	31897	Osada: flasik	39506	flasik	0		13
15056	18	163	3	32175	Деревня Mia	40225	Mia	0		10
15065	27	163	7	32369	Honyo`s village	40689	Honyo	0		13
15072	34	163	1	32522	01. Восьминожка	685	Восьминожка	16	Choco	139
15412	-27	162	3	32105	the kop	39994	segev334	463	LSD	181
15414	-25	162	3	32086	Кузен Кумыс	39943	Eats_me	684	Кузены	189
15416	-23	162	6	31949	صقصق`s village	39628	صقصق	0		8
15437	-2	162	6	31620	Lusville	38891	Lukino04	0		12
15442	3	162	5	31450	Natars 3|162	1	Natars	0		36
15447	8	162	1	31219	Új falu	2421	Aquila	213	M&M	80
15449	10	162	6	31673	Gnarnian valtakunta	39019	sakassi	0		115
15453	14	162	2	31914	Balsthal	39532	mabo93	0		36
15456	17	162	6	31908	Minivan378’s landsby	39526	Minivan378	0		95
15458	19	162	6	31896	Ragnar	39499	Seed	0		54
15461	22	162	3	31884	Trapper	39477	Trench	0		206
15469	30	162	3	32366	m.nouri`s village	40685	m.nouri	0		8
15521	82	162	2	31188	Бересклет	17193	GreenRun72	55	WWW	189
