ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop
8437	-185	179	1	19034	2. Facebook	739	fatliau	0		225
8439	-183	179	1	18571	1. Google	739	fatliau	0		252
9810	-15	176	1	18656	Windsor Castle	3951	Sadistic	17	ZEN	147
10818	191	174	2	18278	00	50	Hammersmith	0		444
11207	179	173	1	18308	B02	191	Bahubali	21	TDS	239
11208	180	173	1	19145	B03	191	Bahubali	21	TDS	68
11219	191	173	2	18918	01	50	Hammersmith	0		371
15170	132	163	1	18616	b1	2257	nicolaus	21	TDS	165
15572	133	162	1	19101	c1	2257	nicolaus	21	TDS	110
15601	162	162	1	18549	02	375	dmf	100	SOS	170
16403	162	160	1	18699	dja2	692	dja	0		118
21089	36	148	1	18770	Podgorica	132	Hector	16	OLYMPIA	184
21489	35	147	1	18227	Ljubljana	132	Hector	16	OLYMPIA	250
24717	55	139	2	19195	03.Natsu	1378	Darknox	21	TDS	90
24718	56	139	2	18470	02.Ulquiorra	1378	Darknox	21	TDS	293
26088	-178	135	3	18601	Brave Chief	1178	harland	5	QUEST	332
26665	-2	134	1	18636	02 Spa	3415	Kimi	131	BYB	294
27175	107	133	3	19127	011 Atlantis	653	Rhea	16	OLYMPIA	131
27178	110	133	3	18511	010 Asphodel Meadows	653	Rhea	16	OLYMPIA	239
27288	-181	132	3	18785	Cole Diesel	1178	harland	5	QUEST	285
28089	-182	130	3	19378	ED	1178	harland	5	QUEST	47
28853	181	129	1	19056	02 allied arms	239	robochef	21	TDS	159
29254	181	128	1	18332	01 allied arms	239	robochef	21	TDS	377
31509	30	122	2	18157	Black quard	67	Krios	16	OLYMPIA	388
31511	32	122	2	19003	Black house	67	Krios	16	OLYMPIA	166
33588	104	117	3	18318	01 ORION	389	HADES	16	OLYMPIA	421
33589	105	117	3	18942	02 VALKYRIE	389	HADES	16	OLYMPIA	205
33632	148	117	2	19217	03 | Uriel	3	Lucifer	21	TDS	41
33633	149	117	2	18379	02 | Amenadiel	3	Lucifer	21	TDS	260
34228	-58	115	1	18291	00	615	Equinox	0		66
34302	16	115	3	18425	01.	172	Avox	21	TDS	165
34735	48	114	3	18160	☭	116	Hypnos	16	OLYMPIA	474
35135	47	113	3	19035	♞	116	Hypnos	16	OLYMPIA	137
35501	12	112	3	19374	02	307	Holden	21	TDS	42
35903	13	111	3	18355	01	307	Holden	21	TDS	220
36309	18	110	2	18348	02 Dumbville	757	Gmorkster	21	TDS	406
36310	19	110	2	18855	03 Meh	757	Gmorkster	21	TDS	242
37138	45	108	2	18184	α	112	Leto	16	OLYMPIA	402
37935	40	106	2	18750	γ	112	Leto	16	OLYMPIA	335
38295	-1	105	3	18510	Empire 2	1473	Shinobi	21	TDS	120
39211	113	103	1	19416	New village	60	Ereb	16	OLYMPIA	2
39539	40	102	2	19353	δ	112	Leto	16	OLYMPIA	65
39612	113	102	1	18187	002 Lorgar Aurelian	60	Ereb	16	OLYMPIA	509
40012	112	101	1	18765	003 Eye of Terror	60	Ereb	16	OLYMPIA	405
40859	157	99	1	18393	2.Kalnapilis 7.30	890	marutux	21	TDS	294
41260	157	98	1	19244	3.Švyturys	890	marutux	21	TDS	122
