ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop
57285	13	329	3	70555	Moniales Claustrales	1663	Ulf the Hermit	102	Monks	126
73496	204	309	1	71153	v01	2444	VovaUzh	159	WHEV	105
87013	104	292	1	70884	03 A Path Beyond	455	Hear No Evil	0		139
88630	119	290	3	71260	02	2571	Omanyte	4	Pokédex	20
94148	30	283	2	70553	Afg village	1463	shoaib	24	•••	99
95015	96	282	1	70287	02 Survivors Enclave	455	Hear No Evil	0		332
111246	307	262	1	70628	02	1918	jbwmddwu2207	178	F&B	151
114260	117	258	3	71017	letmælk	34	Slowpoke	4	Pokédex	61
115866	121	256	3	70214	Surmælk	34	Slowpoke	4	Pokédex	268
118037	-111	253	3	70452	00 Mad Gods	866	Alphabet	12	Outlaws	149
118149	1	253	1	71269	02 Protect	758	Alakazam	4	Pokédex	67
118721	-228	252	3	70528	New village	10	McGyver	43	Vikings	83
119751	1	251	1	70207	01 Psychic	758	Alakazam	4	Pokédex	206
128748	187	240	1	70440	New village	1767	Haunter	4	Pokédex	248
129363	1	239	2	70882	02 Growl	33	Kangaskhan	4	Pokédex	145
130303	140	238	2	71032	0.2 Quick Attack	32	Arcanine	4	Pokédex	184
130304	141	238	2	70181	0.1 Arcanine	32	Arcanine	4	Pokédex	311
130965	1	237	2	70187	01 Tailwhip	33	Kangaskhan	4	Pokédex	418
140579	3	225	3	71275	03 STRING SHOT	196	Kakuna	4	Pokédex	127
140584	8	225	3	70168	02 STRUGGLE	196	Kakuna	4	Pokédex	353
150269	81	213	2	70223	00 Viridian City	1063	Cubone	4	Pokédex	361
150270	82	213	2	70779	01 Viridian Forest	1063	Cubone	4	Pokédex	129
155693	-102	206	1	70404	000	1259	Donatello	84	HA	267
158177	-21	203	1	70532	New village	614	kouter	12	Outlaws	138
164165	360	196	1	70638	123	1919	cheng0v0	0		89
165507	100	194	3	70172	00 - The Void	11	Nidorina	4	Pokédex	385
165523	116	194	2	70217	00 GoO	48	Gyarados	4	Pokédex	423
166091	-117	193	1	70419	II	747	Galaxidos	12	Outlaws	288
166308	100	193	3	70672	01 - Nothingness	11	Nidorina	4	Pokédex	358
166325	117	193	2	70853	02 GoO	48	Gyarados	4	Pokédex	202
171017	3	187	2	70163	00 Fire Blast	27	Charmander	4	Pokédex	370
171019	5	187	2	70841	01 Flamethrower	27	Charmander	4	Pokédex	242
174428	210	183	1	70823	03	15	Mewtwo	4	Pokédex	209
174430	212	183	1	70170	02	15	Mewtwo	4	Pokédex	327
179844	19	176	1	70604	00 New Hope	2280	Inseminator	0		239
182205	-23	173	1	70173	01 Marowak´s Bone	69	Marowak	4	Pokédex	316
182418	190	173	2	70876	C	22	Snorlax	4	Pokédex	201
182988	-41	172	1	71214	02 Marowak´s Skull	69	Marowak	4	Pokédex	44
183219	190	172	2	70152	B	22	Snorlax	4	Pokédex	274
187933	98	166	1	70197	00 :)	836	Beedrill	4	Pokédex	179
194416	173	158	3	71144	03 Go	122	Primeape	4	Pokédex	108
195217	173	157	3	70183	02 Pokeball	122	Primeape	4	Pokédex	328
201522	70	149	3	71060	01 Mt. Silver	190	Onix	4	Pokédex	156
202322	69	148	3	70117	00 Victory Road	190	Onix	4	Pokédex	361
203090	36	147	2	70161	02 Purple Heart	45	Squirtle	4	Pokédex	277
203890	35	146	2	70970	03 Attitude Adjuster	45	Squirtle	4	Pokédex	151
203967	112	146	2	70335	Articuno	1125	Moltres	4	Pokédex	200
204767	111	145	2	71298	Munchlax	1125	Moltres	4	Pokédex	84
205560	103	144	3	70505	New village	1984	Bi2	0		39
207848	-12	141	3	70617	A2	572	Esgoba	159	WHEV	158
211474	-391	136	1	70665	Big bad hammer	1999	Erwin	0		157
225312	-170	119	1	70308	Goldman Sachs	1211	Yusuf	12	Outlaws	300
225313	-169	119	1	71173	JP Morgan	1211	Yusuf	12	Outlaws	84
227809	-76	116	1	70288	New village	1292	mirzas	0		3
228630	-56	115	3	70381	Village 02	80	Grand Papa	12	Outlaws	288
230238	-50	113	1	71002	V01	2544	Roman	161	Noobland	205
231280	191	112	2	70834	01 ORAVA	272	Electabuzz	4	Pokédex	282
231283	194	112	2	70155	00 KARHU	272	Electabuzz	4	Pokédex	255
232634	-57	110	3	70389	ZZ Tops 02	144	ZZ Top	12	Outlaws	288
232640	-51	110	3	70174	GwinnBleidd 01	4	GwinnBleidd	12	Outlaws	414
234311	18	108	2	70486	bw	570	MBB	0		100
236593	-103	105	2	70165	Montis Fortis	293	nyoman	12	Outlaws	426
238197	-101	103	2	71389	Montis T01	293	nyoman	12	Outlaws	102
238999	-100	102	2	70699	Montis Fortis II	293	nyoman	12	Outlaws	398
239279	180	102	3	70399	Fujitsu 0.1	829	koffing	4	Pokédex	194
240601	-100	100	5	8	WW Village	1	Natars	0		238
240701	0	100	5	9	WW Village	1	Natars	0		238
240777	76	100	2	70153	02 Sleep Powder	68	Paras	4	Pokédex	334
240801	100	100	5	2	WW Village	1	Natars	0		238
241578	76	99	2	71207	03 Stun Spore	68	Paras	4	Pokédex	185
241618	116	99	3	70237	2.0	42	Tauros	4	Pokédex	273
243079	-25	97	1	70482	00-Dragon s Capital	2268	Drag0n	12	Outlaws	254
244679	-27	95	3	70626	Agteros	1700	Johanthegaul	12	Outlaws	97
244891	185	95	1	70571	GermániPřekročiliRýn	1331	Eruano	151	TTT	52
245508	1	94	3	70533	BPR	1769	derzis	159	WHEV	178
245536	29	94	1	70697	01 - Espeon	29	Eevee	4	Pokédex	371
245537	30	94	1	70107	00 - Vaporeon	29	Eevee	4	Pokédex	360
247080	-29	92	3	70175	02	596	Bloodanthem	12	Outlaws	378
247296	187	92	1	70584	U Vyndaného Jezdce	1391	Legion master	151	TTT	76
247885	-25	91	3	70758	03	596	Bloodanthem	12	Outlaws	225
247888	-22	91	3	70294	Montreal	1082	sughra	0		37
249485	-27	89	2	70568	00	1897	Night Hunter	12	Outlaws	131
250316	3	88	3	70565	00	2358	hoyt	159	WHEV	326
251261	147	87	1	71380	New village	621	Magnetic	24	•••	76
252062	147	86	1	70309	B02	621	Magnetic	24	•••	251
253461	-56	84	1	71413	New village	647	Vex Hallow	12	Outlaws	12
253574	57	84	1	70809	Edron	2489	Fyrennix	24	•••	49
255061	-58	82	1	70295	Helium Vex	647	Vex Hallow	12	Outlaws	348
255075	-44	82	3	70263	Salabybiskis	460	SunFizz	12	Outlaws	326
255978	58	81	3	71322	02 Kris Safari	2467	Kris	0		10
256778	57	80	3	71218	02 Cresa FF	2468	Cresa	24	•••	25
256779	58	80	1	70346	02 California	681	Crescent	24	•••	189
256826	105	80	1	70313	New village	185	Pikachu	4	Pokédex	130
258266	-57	78	2	70240	Tanque 2	879	besouro1977	12	Outlaws	274
258516	193	78	1	70209	02	37	Imperians	0		154
259885	-40	76	3	71229	N1	946	höchi	0		30
260641	-85	75	3	70937	Bn 2	2466	qwert	0		85
261471	-56	74	2	71036	Tanque 3	879	besouro1977	12	Outlaws	96
261596	69	74	1	70631	Hell-2	1145	Totozz	24	•••	250
262320	-8	73	2	71412	carsvegas`s village	3979	carsvegas	0		8
262322	-6	73	3	71411	Elephant Camp	3975	cryo	0		20
262336	8	73	1	71394	no name`s village	3951	no name	0		12
263116	-13	72	1	71410	MartinRahl`s village	3973	MartinRahl	0		8
263120	-9	72	3	71407	Angus Ragnessen`s village	3970	Angus Ragnessen	0		17
263124	-5	72	2	71333	Athens	3835	Titan	0		23
263139	10	72	1	71406	Camelot	3969	KingArthur	0		18
263141	12	72	1	71392	Pendalf`s village	3937	Pendalf	0		8
263912	-18	71	3	71419	01	4002	Droy	0		19
263914	-16	71	3	71418	mrnaoconegue`s village	3992	mrnaoconegue	0		8
263920	-10	71	1	71315	Electric_23`s village	3813	Electric_23	0		12
263923	-7	71	1	71212	HouseOfChaos`s village	3601	HouseOfChaos	0		8
263928	-2	71	3	71202	maticol`s village	3589	maticol	0		10
263930	0	71	3	71233	vonexab555`s village	3644	vonexab555	0		8
263934	4	71	3	71231	Adrelina	3628	tpoikela	0		15
263937	7	71	2	71228	SYK`s village	3623	SYK	0		8
263969	39	71	2	70265	00 Altaïr	538	assox	24	•••	215
264710	-21	70	3	71417	AnimeGod`s village	3991	AnimeGod	0		8
264714	-17	70	3	71314	VampireHunterD`s village	3812	VampireHunterD	0		8
264728	-3	70	3	71108	Good Village	3396	tolgaunal	178	F&B	120
264730	-1	70	3	71098	GIORGIARM`s village	3386	GIORGIARM	0		15
264734	3	70	1	71065	laleh`s village	2962	laleh	0		11
264736	5	70	1	71161	Bozzobabbi`s village	3483	Bozzobabbi	0		8
264739	8	70	2	71156	Hyrule	3474	Dkmk	0		68
264747	16	70	2	70403	02 Drew Mcintyre	1251	Parma	24	•••	136
264768	37	70	2	71311	02 Al Mualim	538	assox	24	•••	119
264787	56	70	2	70279	Majoras	1140	Generolas	24	•••	317
264788	57	70	2	71100	New village	1140	Generolas	24	•••	179
265522	-10	69	3	71130	Mohendran`s village	3442	Mohendran	0		8
265524	-8	69	1	70982	01 Bitola	3167	Great Macedonia	178	F&B	162
265539	7	69	3	71000	texz`s village	3205	texz	0		14
265542	10	69	1	71096	No7R1cA`s village	3383	No7R1cA	0		17
265544	12	69	2	71038	Feller`s village	3286	Feller	0		39
265554	22	69	3	71372	smhtb`s village	3894	smhtb	0		10
266268	-65	68	3	70630	James Cameron	2253	goonieespa	12	Outlaws	61
266313	-20	68	3	71216	Freeport7	3605	Vern	0		115
266317	-16	68	3	71122	G00	3431	Grit	0		12
266324	-9	68	1	70976	[00] Las Cañas	3152	Pili	0		89
266336	3	68	1	70911	Wakarya	2988	gauchoj	178	F&B	159
266338	5	68	3	70908	1.智	2985	Sun Tzu22	0		70
266341	8	68	1	70907	VeryBigPanda	2984	VeryBigPanda	0		58
266349	16	68	3	71146	The Black Chamber	3462	The Red Death	178	F&B	142
266352	19	68	3	71224	kitsinae`s village	3619	kitsinae	0		8
266358	25	68	2	71346	Un10`s village	3849	Un10	0		10
266363	30	68	3	71083	Oops	2537	minde	24	•••	142
267107	-27	67	3	71300	krystek0216`s village	3794	krystek0216	0		8
267109	-25	67	2	71230	Hypnotik`s village	3627	Hypnotik	0		10
267113	-21	67	1	71040	01	3288	block	0		103
267117	-17	67	1	70991	Noob Supremo`s village	3186	Noob Supremo	0		12
267132	-2	67	3	70781	Hraz`s village	2737	Hraz	0		12
267138	4	67	3	70797	Kolo`s village	2772	Kolo	0		8
267144	10	67	1	70900	Estate I	2967	peekay	0		171
267146	12	67	3	70896	s.keranov`s village	2959	s.keranov	0		8
267149	15	67	3	70998	Elis`s village	3173	Elis	0		15
267151	17	67	2	70944	Gorgan	3041	lvlunster	178	F&B	118
267156	22	67	2	71237	Falador	3653	dymko	178	F&B	116
267160	26	67	3	71368	pola village	3891	pola	178	F&B	77
267909	-26	66	2	71180	הכפר של אילן	3527	ilan	0		11
267915	-20	66	3	70988	Parsifal68`s village	3184	Parsifal68	0		11
267919	-16	66	2	70886	torpapa1992`s village	2942	torpapa1992	0		8
267925	-10	66	3	70778	biwolf	2732	biwolf	0		13
267928	-7	66	1	70716	Marsa	2644	boooum	163	LoH	238
267935	0	66	1	70728	Nidhogg1	2660	Nidhogg	0		214
267942	7	66	3	70727	helicik146`s village	2659	helicik146	0		8
267944	9	66	3	70789	Du30 kamay na bakal	2756	cebubasketball	159	WHEV	178
267946	11	66	1	70786	Hameddayi`s village	2746	Hameddayi	0		11
267948	13	66	3	70748	Dsrf	2690	Dsrf	0		8
267954	19	66	5	71037	Natars 19|66	1	Natars	0		14
267956	21	66	3	71030	Glory2Burd`s village	3279	Glory2Burd	0		10
267958	23	66	1	71154	00 Eagle	3470	Eagle	0		113
268046	111	66	1	70569	01. The Sun	1743	Pipod	24	•••	202
268709	-27	65	3	71119	NovumForumSiculorum	3417	Szilveszterr	0		16
268711	-25	65	3	71097	Ishtar 95`s village	3385	Ishtar 95	0		8
268721	-15	65	3	70772	Imperio de ptolomeo	2719	topson	0		110
268725	-11	65	2	70652	Eli	2606	Eli	0		53
268728	-8	65	3	70461	Pavarom	2537	minde	24	•••	306
268734	-2	65	1	70422	xfunny`s village	2522	xfunny	0		17
268741	5	65	3	70572	Maddison	2580	Madian	159	WHEV	275
268750	14	65	3	70704	Schatten	2633	XcarioN	178	F&B	137
268756	20	65	3	70918	00#	3003	Avesan	178	F&B	147
268758	22	65	3	71027	Apostol Dimce`s village	3274	Apostol Dimce	0		8
269502	-35	64	1	71416	Domian55`s village	3982	Domian55	0		17
269505	-32	64	2	71309	SHAH`s village	3808	SHAH	0		10
269511	-26	64	1	70974	o	3151	Ostepoptore	179	o	190
269514	-23	64	1	70874	ALNUFAILYN1`s village	2916	ALNUFAILYN1	0		25
269516	-21	64	3	70771	Tibberous`s village	2721	Tibberous	0		15
269518	-19	64	3	70760	Switzerland	2707	sebysebyseby	0		179
269527	-10	64	3	70456	Cicis Pizza	2534	Dominos	0		18
269544	7	64	3	70244	udprocks`s village	2472	udprocks	0		12
269549	12	64	1	70574	evuslu	2581	evuslu	0		54
269553	16	64	2	70722	Hammer`s village	2650	Hammer	0		8
269558	21	64	1	70761	Dominik7`	2708	Dominik7	0		55
269561	24	64	1	70860	chukyy	2897	chukyy	178	F&B	171
269563	26	64	3	71031	bibraquite	3281	fragme	0		120
269571	34	64	3	71357	khanegan`s village	3864	khanegan	0		10
270309	-29	63	3	70986	#A	3177	Dirtyexpress	178	F&B	127
270313	-25	63	3	71016	Hell	1861	Navidiuming	159	WHEV	84
270316	-22	63	3	70471	New village	714	banbus	12	Outlaws	105
270323	-15	63	1	70507	#01*	2550	mamonskie004	178	F&B	178
270326	-12	63	5	70194	Natars -12|63	1	Natars	0		61
270328	-10	63	3	70538	New village	1748	baechuu	0		31
270333	-5	63	3	70050	01	2358	hoyt	159	WHEV	379
270342	4	63	3	70072	Tanjung Duren	2382	chicack	159	WHEV	281
270344	6	63	3	71062	New village	2382	chicack	159	WHEV	84
270347	9	63	3	70230	01 Cresa FF	2468	Cresa	24	•••	181
270349	11	63	1	70129	v00	2444	VovaUzh	159	WHEV	432
270356	18	63	1	70712	Captal Tehran	2639	Ata	0		118
270361	23	63	3	70734	vibeandtrippin`s village	2668	vibeandtrippin	0		12
270363	25	63	3	70673	New village	2388	KOOOK	0		172
270367	29	63	3	71029	I Come In Peace	3278	Zwarte Schaduw	0		67
270373	35	63	3	71355	BS One	3861	BlueScout	0		43
271084	-55	62	1	70831	Make It With Chu	253	QOTSA	12	Outlaws	249
271108	-31	62	1	70925	HOME	3013	legend	0		177
271111	-28	62	3	70812	krajanek`s village	2809	krajanek	0		8
271118	-21	62	2	70339	Esparta 1	2496	Rasoul	159	WHEV	355
271130	-9	62	1	70060	Cordoba	2374	aozora	0		13
271131	-8	62	2	71176	&#60;&#60; 0●0●1	1071	yodha	12	Outlaws	128
271133	-6	62	1	69996	01-Dragon`s start	2268	Drag0n	12	Outlaws	580
271142	3	62	5	70006	Natars 3|62	1	Natars	0		75
271165	26	62	3	70793	SCORP_GOD`s village	2763	SCORP_GOD	0		8
271176	37	62	2	71342	VEXPIRE	3842	vexpire	0		45
271902	-38	61	2	71320	Tehran 1900	3815	amir13	0		19
271907	-33	61	3	70985	Semnyk`s village	3178	Semnyk	0		8
271918	-22	61	5	70506	Natars -22|61	1	Natars	0		56
271928	-12	61	1	69981	City of GOD	2233	Hamedof	0		156
271938	-2	61	1	71403	Maksimir	2062	fikus	12	Outlaws	91
271957	17	61	1	70054	1	2367	wartortle	0		35
271964	24	61	1	70684	ATA	2625	ZAPATTA	0		56
271967	27	61	3	70811	sudarshan`s village	2807	sudarshan	0		12
271970	30	61	2	70917	shark`s village	3002	shark	0		12
271972	32	61	3	71025	KationT`s village	3262	KationT	0		14
272014	74	61	1	71005	02_Pomoc	17	Koumak	5	#Friends	183
272688	-53	60	1	70124	No One Knows	253	QOTSA	12	Outlaws	384
272704	-37	60	3	71106	knightrider5000`s village	3395	knightrider5000	0		10
272709	-32	60	1	70881	Warzone	2938	KoopertjeT	0		176
272712	-29	60	2	70774	Thorin	2720	mase34	0		22
272716	-25	60	3	70480	MowZye`s village	2542	MowZye	0		10
272720	-21	60	1	70141	hajiko`s	2446	hajiko	0		213
272722	-19	60	1	70425	Tente A Tive	1543	grognon	12	Outlaws	169
