ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop	Pop_d-1	difference1	Pop_d-2	difference2	distance	links
124200	90	-109	6	26944	Калуга	26176	Molo4nik_KLG	0		49	49	0	49	0	2	https://latesummer1x.travian.com/karte.php?x=90&y=-109
123805	96	-108	6	27532	Iasi Village	27962	Iulian	0		18	18	0	18	0	4	https://latesummer1x.travian.com/karte.php?x=96&y=-108
124607	96	-110	3	27880	Aldea de B.O.W	29135	B.O.W	0		10	10	0	10	0	4	https://latesummer1x.travian.com/karte.php?x=96&y=-110
125805	91	-113	2	27701	قرية access	28567	access	0		10	10	0	10	0	4	https://latesummer1x.travian.com/karte.php?x=91&y=-113
122196	91	-104	2	26408	labdacus`s village	24232	labdacus	0		14	14	0	14	0	5	https://latesummer1x.travian.com/karte.php?x=91&y=-104
123405	97	-107	3	27557	Aldeia do gui	28028	gui	0		12	12	0	12	0	5	https://latesummer1x.travian.com/karte.php?x=97&y=-107
123796	87	-108	6	26642	Constantinople	25112	Soleri	0		30	30	0	30	0	5	https://latesummer1x.travian.com/karte.php?x=87&y=-108
124207	97	-109	6	27798	YALLAH HABEBDEWH	28894	OLAFER	0		12	12	0	12	0	5	https://latesummer1x.travian.com/karte.php?x=97&y=-109
125803	89	-113	6	27518	Golden 1	27629	GoldenX	0		14	14	0	14	0	5	https://latesummer1x.travian.com/karte.php?x=89&y=-113
126207	92	-114	3	27900	morfast`s village	29172	morfast	0		8	8	0	0	8	5	https://latesummer1x.travian.com/karte.php?x=92&y=-114
122193	88	-104	3	26144	FEEDELAND	23310	feederica	0		32	32	0	32	0	6	https://latesummer1x.travian.com/karte.php?x=88&y=-104
121392	89	-102	3	26005	Teekkarikylä	22805	Teekkarijäbä	0		53	53	0	53	0	7	https://latesummer1x.travian.com/karte.php?x=89&y=-102
124209	99	-109	2	27972	Деревня damien96	29329	damien96	0		11	11	0	11	0	7	https://latesummer1x.travian.com/karte.php?x=99&y=-109
126202	87	-114	3	27348	ghfdt`s village	27395	ghfdt	0		10	10	0	10	0	7	https://latesummer1x.travian.com/karte.php?x=87&y=-114
