ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop	Pop_d-1	difference1	distance	links
356880	34	-45	1	2498	simsi`s village	1885	simsi	0		37	69	-32	86	https://latesummer1x.travian.com/karte.php?x=34&y=-45
359280	31	-48	3	2612	Pinto 69`s village	1958	Pinto 69	0		10	28	-18	86	https://latesummer1x.travian.com/karte.php?x=31&y=-48
353679	37	-41	1	2410	totof49`s village	1821	totof49	0		10	10	0	87	https://latesummer1x.travian.com/karte.php?x=37&y=-41
354478	35	-42	2	2342	mac and cheese`s village	1750	mac and cheese	0		10	10	0	87	https://latesummer1x.travian.com/karte.php?x=35&y=-42
359278	29	-48	2	2433	Moria	1836	gimli	0		35	40	-5	87	https://latesummer1x.travian.com/karte.php?x=29&y=-48
348080	45	-34	2	2503	Game (01) Over	1897	Faisal	0		36	67	-31	88	https://latesummer1x.travian.com/karte.php?x=45&y=-34
352078	38	-39	3	2320	jahoda`s village	1709	jahoda	32	Gl4dius	54	100	-46	88	https://latesummer1x.travian.com/karte.php?x=38&y=-39
360877	26	-50	1	2519	Marudny`s village	1904	Marudny	0		27	27	0	88	https://latesummer1x.travian.com/karte.php?x=26&y=-50
351276	37	-38	2	2193	AceOfSwoRd`s village	1524	AceOfSwoRd	0		21	69	-48	89	https://latesummer1x.travian.com/karte.php?x=37&y=-38
356076	31	-44	3	2313	Marian7335`s village	1670	Marian7335	0		41	49	-8	89	https://latesummer1x.travian.com/karte.php?x=31&y=-44
356876	30	-45	3	2291	A1	843	zdeno12	0		41	49	-8	89	https://latesummer1x.travian.com/karte.php?x=30&y=-45
361676	24	-51	2	2529	depua`s village	1914	depua	0		13	13	0	89	https://latesummer1x.travian.com/karte.php?x=24&y=-51
345679	47	-31	3	2533	El Guapo`s village	1919	El Guapo	0		24	46	-22	90	https://latesummer1x.travian.com/karte.php?x=47&y=-31
346477	44	-32	1	2306	00	1691	lionheart	0		26	32	-6	90	https://latesummer1x.travian.com/karte.php?x=44&y=-32
348077	42	-34	2	2293	Tamam1988`s village	1667	Tamam1988	0		8	8	0	90	https://latesummer1x.travian.com/karte.php?x=42&y=-34
349676	39	-36	2	2194	alpha	1523	xirced	32	Gl4dius	41	54	-13	90	https://latesummer1x.travian.com/karte.php?x=39&y=-36
358474	26	-47	3	2285	AnGeL Of DeATh`s village	1661	AnGeL Of DeATh	0		10	19	-9	90	https://latesummer1x.travian.com/karte.php?x=26&y=-47
362475	22	-52	1	2520	Shane`s village	1905	Shane	0		8	8	0	90	https://latesummer1x.travian.com/karte.php?x=22&y=-52
344078	48	-29	3	2510	sexybeast`s village	1901	sexybeast	0		12	12	0	91	https://latesummer1x.travian.com/karte.php?x=48&y=-29
348074	39	-34	3	2058	atenza	1402	atenza	0		35	67	-32	91	https://latesummer1x.travian.com/karte.php?x=39&y=-34
350473	35	-37	1	1994	Xx_ANON_xX`s village	1381	Xx_ANON_xX	0		10	10	0	91	https://latesummer1x.travian.com/karte.php?x=35&y=-37
354472	29	-42	3	1930	thina`s village	1168	thina	0		8	8	0	91	https://latesummer1x.travian.com/karte.php?x=29&y=-42
356073	28	-44	1	2134	Rasht	1471	SpacewalkerS6	0		28	28	0	91	https://latesummer1x.travian.com/karte.php?x=28&y=-44
362473	20	-52	1	2521	3VI`s village	1903	3VI	0		35	80	-45	91	https://latesummer1x.travian.com/karte.php?x=20&y=-52
343276	47	-28	1	2408	Mone`s village	1703	Mone	0		13	13	0	92	https://latesummer1x.travian.com/karte.php?x=47&y=-28
344874	43	-30	3	2119	deathbringer`s village	1454	deathbringer	0		14	19	-5	92	https://latesummer1x.travian.com/karte.php?x=43&y=-30
346474	41	-32	3	2130	Treyci`s village	1469	Treyci	0		17	17	0	92	https://latesummer1x.travian.com/karte.php?x=41&y=-32
