ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop	Pop_d-1	difference1	Pop_d-2	difference2	distance	links
333589	-28	-16	1	128	Di Maleno`s village	94	Di Maleno	0		12	12	0	12	0	4.5	https://ts81.travian.com/karte.php?x=-28&y=-16
339996	-29	-24	3	585	PTR1`s village	370	PTR1	0		15	15	0	15	0	5.0	https://ts81.travian.com/karte.php?x=-29&y=-24
337591	-31	-21	1	517	Oxford`s village	329	Oxford	0		8	8	0	8	0	5.1	https://ts81.travian.com/karte.php?x=-31&y=-21
341603	-24	-26	1	435	1	278	klingenmeister	0		25	25	0	25	0	6.3	https://ts81.travian.com/karte.php?x=-24&y=-26
336788	-33	-20	1	741	01 Alderaan	488	tisse	0		201	201	0	201	0	7.0	https://ts81.travian.com/karte.php?x=-33&y=-20
331184	-30	-13	1	222	axe57	133	axe57	0		96	96	0	92	4	8.1	https://ts81.travian.com/karte.php?x=-30&y=-13
331983	-32	-14	1	483	pepa`s village	296	pepa	0		8	8	0	8	0	8.5	https://ts81.travian.com/karte.php?x=-32&y=-14
334384	-34	-17	1	673	King Milo`s village	412	King Milo	0		22	22	0	22	0	8.5	https://ts81.travian.com/karte.php?x=-34&y=-17
337587	-35	-21	2	821	ELITExDRAGONZ`s village	541	ELITExDRAGONZ	0		11	11	0	11	0	9.1	https://ts81.travian.com/karte.php?x=-35&y=-21
344000	-30	-29	1	932	Rat88`s village	358	Rat88	0		12	12	0	12	0	9.8	https://ts81.travian.com/karte.php?x=-30&y=-29
331180	-34	-13	1	500	Fin12`s village	312	Fin12	0		28	28	0	28	0	10.6	https://ts81.travian.com/karte.php?x=-34&y=-13
342394	-34	-27	3	1023	Slug`s village	700	Slug	0		10	10	0	10	0	10.6	https://ts81.travian.com/karte.php?x=-34&y=-27
344809	-22	-30	3	502	1	286	dystopian	0		36	36	0	36	0	10.8	https://ts81.travian.com/karte.php?x=-22&y=-30
337585	-37	-21	1	1003	Zeus`s village	677	Zeus	0		39	39	0	39	0	11.0	https://ts81.travian.com/karte.php?x=-37&y=-21
327980	-30	-9	2	69	Droken`s village	95	Droken	0		262	262	0	262	0	11.7	https://ts81.travian.com/karte.php?x=-30&y=-9
341611	-16	-26	1	71	Kullervo`s village	103	Kullervo	0		8	8	0	8	0	11.7	https://ts81.travian.com/karte.php?x=-16&y=-26
336783	-38	-20	1	1033	aragorn`s village	710	aragorn	0		8	8	0	8	0	12.0	https://ts81.travian.com/karte.php?x=-38&y=-20
346407	-26	-32	1	865	therealtester`s village	578	therealtester	0		8	8	0	8	0	12.0	https://ts81.travian.com/karte.php?x=-26&y=-32
344797	-34	-30	3	1221	PaccaRiattacca`s village	735	PaccaRiattacca	0		12	12	0	12	0	12.8	https://ts81.travian.com/karte.php?x=-34&y=-30
