ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop	Pop_d-1	difference1	distance	links
322367	-36	-2	1	498	THC`s village	251	THC	0		24	24	0	1	https://ts81.travian.com/karte.php?x=-36&y=-2
319966	-34	1	2	308	desth`s village	146	desth	0		15	15	0	2	https://ts81.travian.com/karte.php?x=-34&y=1
318362	-36	3	1	467	Inkasator`s village	267	Inkasator	0		8	8	0	4	https://ts81.travian.com/karte.php?x=-36&y=3
320770	-31	0	3	94	Davedave`s village	108	Davedave	0		8	8	0	4	https://ts81.travian.com/karte.php?x=-31&y=0
317560	-37	4	2	516	istanbul	327	TURK	0		32	32	0	5	https://ts81.travian.com/karte.php?x=-37&y=4
316762	-34	5	3	283	maestro zen`s village	193	maestro zen	3	IN	29	29	0	6	https://ts81.travian.com/karte.php?x=-34&y=5
324765	-41	-5	2	873	Lily`s village	574	Lily	0		30	30	0	7	https://ts81.travian.com/karte.php?x=-41&y=-5
327172	-37	-8	3	571	AFK`s village	360	AFK	0		15	15	0	7	https://ts81.travian.com/karte.php?x=-37&y=-8
315163	-31	7	2	143	Wasil`s village	141	Wasil	0		11	11	0	8	https://ts81.travian.com/karte.php?x=-31&y=7
317555	-42	4	1	896	00	617	Asmodeus	0		61	61	0	8	https://ts81.travian.com/karte.php?x=-42&y=4
327974	-36	-9	3	539	YeSong`s village	345	YeSong	0		8	8	0	8	https://ts81.travian.com/karte.php?x=-36&y=-9
314356	-37	8	1	621	ja doso nako	383	ja doso nako	0		17	17	0	9	https://ts81.travian.com/karte.php?x=-37&y=8
315954	-41	6	1	810	(01)	532	Kato	0		35	35	0	9	https://ts81.travian.com/karte.php?x=-41&y=6
320757	-44	0	3	1092	TriJape`s village	725	TriJape	0		32	32	0	9	https://ts81.travian.com/karte.php?x=-44&y=0
315952	-43	6	3	964	Zeal`s village	646	Zeal	0		28	28	0	10	https://ts81.travian.com/karte.php?x=-43&y=6
327166	-43	-8	1	1040	Staffanstorp	696	Superhoops	0		88	88	0	10	https://ts81.travian.com/karte.php?x=-43&y=-8
329574	-38	-11	1	791	marius1024`s village	401	marius1024	0		37	37	0	10	https://ts81.travian.com/karte.php?x=-38&y=-11
313562	-30	9	2	72	Dark-Knight`s village	101	Dark-Knight	0		71	71	0	11	https://ts81.travian.com/karte.php?x=-30&y=9
324760	-46	-5	2	1322	Odin`s village	894	Odin	0		14	14	0	11	https://ts81.travian.com/karte.php?x=-46&y=-5
330378	-35	-12	3	533	Mr. Fox	322	Niro	0		45	45	0	11	https://ts81.travian.com/karte.php?x=-35&y=-12
311953	-37	11	3	644	selow`s village	391	selow	0		12	12	0	12	https://ts81.travian.com/karte.php?x=-37&y=11
311958	-32	11	1	238	Elena	173	gugk0	0		90	90	0	12	https://ts81.travian.com/karte.php?x=-32&y=11
327164	-45	-8	2	1291	Goshtex`s village	820	Goshtex	0		10	10	0	12	https://ts81.travian.com/karte.php?x=-45&y=-8
331180	-34	-13	1	500	Fin12`s village	312	Fin12	0		28	28	0	12	https://ts81.travian.com/karte.php?x=-34&y=-13
311151	-38	12	2	755	Octopus`s village	478	Octopus	0		19	19	0	13	https://ts81.travian.com/karte.php?x=-38&y=12
311156	-33	12	1	361	babulko`s village	238	babulko	0		30	30	0	13	https://ts81.travian.com/karte.php?x=-33&y=12
317550	-47	4	3	1351	Razvan1`s village	888	Razvan1	0		11	11	0	13	https://ts81.travian.com/karte.php?x=-47&y=4
325560	-47	-6	3	1435	Limitless`s village	958	Limitless	0		12	12	0	13	https://ts81.travian.com/karte.php?x=-47&y=-6
331983	-32	-14	1	483	pepa`s village	296	pepa	0		8	8	0	13	https://ts81.travian.com/karte.php?x=-32&y=-14
315147	-47	7	3	1474	Kani`s village	966	Kani	0		11	11	0	14	https://ts81.travian.com/karte.php?x=-47&y=7
320752	-49	0	2	1570	seven7`s village	1110	seven7	0		8	8	0	14	https://ts81.travian.com/karte.php?x=-49&y=0
312745	-46	10	2	1348	01| Grolsch	920	Nigedasu	0		35	35	0	15	https://ts81.travian.com/karte.php?x=-46&y=10
316747	-49	5	2	1535	Reagle 01	1062	Reagle	0		10	10	0	15	https://ts81.travian.com/karte.php?x=-49&y=5
308748	-38	15	3	843	Colin the great`s village	520	Colin the great	0		8	8	0	16	https://ts81.travian.com/karte.php?x=-38&y=15
308750	-36	15	1	703	barbar`s village	454	barbar	0		54	54	0	16	https://ts81.travian.com/karte.php?x=-36&y=15
310361	-27	13	2	29	Dafo`s village	26	Dafo	0		10	10	0	16	https://ts81.travian.com/karte.php?x=-27&y=13
317546	-51	4	1	1904	simba`s village	1311	simba	0		28	28	0	16	https://ts81.travian.com/karte.php?x=-51&y=4
326358	-50	-7	3	1710	Nitro`s village	1214	Nitro	0		8	8	0	16	https://ts81.travian.com/karte.php?x=-50&y=-7
332772	-44	-15	1	1318	EAV`s village	889	EAV	0		33	33	0	16	https://ts81.travian.com/karte.php?x=-44&y=-15
333589	-28	-16	1	128	Di Maleno`s village	94	Di Maleno	0		12	12	0	16	https://ts81.travian.com/karte.php?x=-28&y=-16
334382	-36	-17	1	816	O	542	navicula	0		12	12	0	16	https://ts81.travian.com/karte.php?x=-36&y=-17
334384	-34	-17	1	673	King Milo`s village	412	King Milo	0		22	22	0	16	https://ts81.travian.com/karte.php?x=-34&y=-17
312742	-49	10	3	1613	Gaulic`s village	1150	Gaulic	0		13	13	0	17	https://ts81.travian.com/karte.php?x=-49&y=10
315944	-51	6	3	1709	Gundersen`s village	1224	Gundersen	0		28	28	0	17	https://ts81.travian.com/karte.php?x=-51&y=6
318346	-52	3	1	2075	Moni	1411	Pepe Argento	0		29	29	0	17	https://ts81.travian.com/karte.php?x=-52&y=3
321550	-52	-1	1	2100	Anthem	1435	Rush	0		26	26	0	17	https://ts81.travian.com/karte.php?x=-52&y=-1
323152	-52	-3	3	2106	Nopo`s village	1436	Nopo	0		8	8	0	17	https://ts81.travian.com/karte.php?x=-52&y=-3
328761	-50	-10	2	1901	Alarico`s village	1303	Alarico	0		8	8	0	17	https://ts81.travian.com/karte.php?x=-50&y=-10
334391	-27	-17	1	113	Mr.Nice`s village	78	Mr.Nice	0		8	8	0	17	https://ts81.travian.com/karte.php?x=-27&y=-17
309541	-46	14	1	1492	Gokku`s village	1009	Gokku	0		17	17	0	18	https://ts81.travian.com/karte.php?x=-46&y=14
313541	-51	9	1	2072	yes	1405	miracles	0		14	14	0	18	https://ts81.travian.com/karte.php?x=-51&y=9
316744	-52	5	3	2046	kjiugu`s village	1376	deleting	0		13	13	0	18	https://ts81.travian.com/karte.php?x=-52&y=5
323952	-53	-4	1	2126	KRS1`s village	1464	KRS1	0		12	12	0	18	https://ts81.travian.com/karte.php?x=-53&y=-4
306342	-41	18	1	1191	T.A.S`s village	783	T.A.S	0		20	20	0	19	https://ts81.travian.com/karte.php?x=-41&y=18
323150	-54	-3	2	2271	janlane`s village	1636	janlane	0		8	8	0	19	https://ts81.travian.com/karte.php?x=-54&y=-3
332767	-49	-15	3	1949	freed3ng`s village	1361	freed3ng	0		15	15	0	19	https://ts81.travian.com/karte.php?x=-49&y=-15
335193	-26	-18	3	87	Antero`s village	107	Antero	0		29	29	0	19	https://ts81.travian.com/karte.php?x=-26&y=-18
336783	-38	-20	1	1033	aragorn`s village	710	aragorn	0		8	8	0	19	https://ts81.travian.com/karte.php?x=-38&y=-20
305545	-37	19	2	899	totolala`s village	613	totolala	0		8	8	0	20	https://ts81.travian.com/karte.php?x=-37&y=19
306356	-27	18	2	145	!!!`s village	61	!!!	0		10	10	0	20	https://ts81.travian.com/karte.php?x=-27&y=18
315140	-54	7	3	2246	Marlen00i`s village	1589	Marlen00i	0		8	8	0	20	https://ts81.travian.com/karte.php?x=-54&y=7
336778	-43	-20	2	1347	Holy Writ`s village	914	Holy Writ	0		29	29	0	20	https://ts81.travian.com/karte.php?x=-43&y=-20
337585	-37	-21	1	1003	Zeus`s village	677	Zeus	0		39	39	0	20	https://ts81.travian.com/karte.php?x=-37&y=-21
337587	-35	-21	2	821	ELITExDRAGONZ`s village	541	ELITExDRAGONZ	0		11	11	0	20	https://ts81.travian.com/karte.php?x=-35&y=-21
337591	-31	-21	1	517	Oxford`s village	329	Oxford	0		8	8	0	20	https://ts81.travian.com/karte.php?x=-31&y=-21
304750	-31	20	3	536	Raggedyman`s village	325	Raggedyman	0		12	12	0	21	https://ts81.travian.com/karte.php?x=-31&y=20
305554	-28	19	1	293	Arruda	202	Coolossus	0		68	68	0	21	https://ts81.travian.com/karte.php?x=-28&y=19
307937	-48	16	1	1903	srknrgn`s village	1310	srknrgn	0		13	13	0	21	https://ts81.travian.com/karte.php?x=-48&y=16
308737	-49	15	1	1914	Sabillius`s village	1314	Sabillius	0		44	44	0	21	https://ts81.travian.com/karte.php?x=-49&y=15
314338	-55	8	2	2419	TTs`s village	1822	TTs	0		8	8	0	21	https://ts81.travian.com/karte.php?x=-55&y=8
323148	-56	-3	2	2484	One`s village	1875	One	0		19	19	0	21	https://ts81.travian.com/karte.php?x=-56&y=-3
335997	-23	-19	1	38	Ukkonen	37	Ukko	0		42	42	0	21	https://ts81.travian.com/karte.php?x=-23&y=-19
337580	-42	-21	2	1433	hristogg`s village	955	hristogg	0		12	12	0	21	https://ts81.travian.com/karte.php?x=-42&y=-21
303947	-33	21	1	708	Escape`s village	422	Escape	0		37	37	0	22	https://ts81.travian.com/karte.php?x=-33&y=21
310335	-53	13	2	2326	buiu`s village	1717	buiu	0		10	10	0	22	https://ts81.travian.com/karte.php?x=-53&y=13
334367	-51	-17	1	2264	Artan`s village	1618	Artan	0		9	9	0	22	https://ts81.travian.com/karte.php?x=-51&y=-17
338379	-44	-22	1	1567	Icon`s village	1089	Icon	0		20	20	0	22	https://ts81.travian.com/karte.php?x=-44&y=-22
303952	-28	21	1	398	Qwor`s village	252	Qwor	0		17	17	0	23	https://ts81.travian.com/karte.php?x=-28&y=21
320743	-58	0	2	2615	kingoftravian`s village	1959	kingoftravian	0		10	10	0	23	https://ts81.travian.com/karte.php?x=-58&y=0
329556	-56	-11	3	2581	Yeet village	1944	GopDuck	0		21	21	0	23	https://ts81.travian.com/karte.php?x=-56&y=-11
339985	-40	-24	2	1434	War`s village	943	War	0		8	8	0	23	https://ts81.travian.com/karte.php?x=-40&y=-24
339996	-29	-24	3	585	PTR1`s village	370	PTR1	0		15	15	0	23	https://ts81.travian.com/karte.php?x=-29&y=-24
302340	-38	23	2	1101	Dravenas`s village	731	Dravenas	0		8	8	0	24	https://ts81.travian.com/karte.php?x=-38&y=23
302342	-36	23	3	973	dmcsaba	406	dmcsaba77	0		11	11	0	24	https://ts81.travian.com/karte.php?x=-36&y=23
307932	-53	16	3	2343	baayzoren`s village	1749	baayzoren	0		13	13	0	24	https://ts81.travian.com/karte.php?x=-53&y=16
301536	-41	24	1	1470	punk rocker`s village	988	punk rocker	0		10	10	0	25	https://ts81.travian.com/karte.php?x=-41&y=24
301540	-37	24	1	1026	01 Kafana	659	cufta	0		20	20	0	25	https://ts81.travian.com/karte.php?x=-37&y=24
301545	-32	24	3	758	Moscavide	473	pastel de nata	0		35	35	0	25	https://ts81.travian.com/karte.php?x=-32&y=24
