ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop	Pop_d-1	difference1	Pop_d-2	difference2	distance	links
322369	-34	-2	1	295	Oldmann	203	Ghost Devil	0		145	145	0	128	17	1.4	https://ts81.travian.com/karte.php?x=-34&y=-2
325576	-31	-6	2	76	Sheev`s	91	Sheev	17	salling	431	431	0	427	4	6.4	https://ts81.travian.com/karte.php?x=-31&y=-6
327980	-30	-9	2	69	Droken`s village	95	Droken	0		262	262	0	262	0	9.4	https://ts81.travian.com/karte.php?x=-30&y=-9
315165	-29	7	1	22	Rivendell	11	Xtinction	0		157	157	0	157	0	10.0	https://ts81.travian.com/karte.php?x=-29&y=7
312757	-34	10	2	318	49ers`s village	227	49ers	0		425	425	0	414	11	11.0	https://ts81.travian.com/karte.php?x=-34&y=10
311158	-31	12	3	146	pazor	140	pazor	0		141	141	0	121	20	13.6	https://ts81.travian.com/karte.php?x=-31&y=12
310338	-50	13	1	2004	/@/Attic	1299	Homestuck	0		121	121	0	120	1	20.5	https://ts81.travian.com/karte.php?x=-50&y=13
307137	-47	17	1	1659	Villa Kidalica	1174	rogiezz	0		177	177	0	152	25	21.6	https://ts81.travian.com/karte.php?x=-47&y=17
319187	-12	2	5	13	WW Village	1	Natars	0		238	238	0	238	0	23.2	https://ts81.travian.com/karte.php?x=-12&y=2
339176	-48	-23	2	2144	0.0	1477	boogeyman	0		114	114	0	114	0	25.6	https://ts81.travian.com/karte.php?x=-48&y=-23
345590	-42	-31	1	1953	Alken	1363	Chaddox	0		126	126	0	126	0	30.8	https://ts81.travian.com/karte.php?x=-42&y=-31
296740	-31	30	2	976	Dai	673	kerodayi	0		302	302	0	302	0	31.3	https://ts81.travian.com/karte.php?x=-31&y=30
329607	-5	-11	5	12	WW Village	1	Natars	0		238	238	0	238	0	31.6	https://ts81.travian.com/karte.php?x=-5&y=-11
298324	-49	28	1	2398	01	1812	Waliuxas_	0		147	147	0	147	0	32.2	https://ts81.travian.com/karte.php?x=-49&y=28
299958	-17	26	1	53	Moloko`s village	35	Moloko	0		100	100	0	100	0	32.4	https://ts81.travian.com/karte.php?x=-17&y=26
298355	-18	28	1	225	Supersteel 01	172	Supersteelarmy	0		123	123	0	119	4	33.6	https://ts81.travian.com/karte.php?x=-18&y=28
296751	-20	30	1	486	IMPERIUM	302	Emperor	0		462	462	0	446	16	34.4	https://ts81.travian.com/karte.php?x=-20&y=30
320801	0	0	5	1	Natars	1	Natars	0		781	781	0	781	0	35.0	https://ts81.travian.com/karte.php?x=0&y=0
311187	-2	12	5	14	WW Village	1	Natars	0		238	238	0	238	0	35.5	https://ts81.travian.com/karte.php?x=-2&y=12
346423	-10	-32	1	315	dezcroix	236	dezcroix	0		106	106	0	106	0	39.8	https://ts81.travian.com/karte.php?x=-10&y=-32
297566	-6	29	2	17	trimbaler`s village	3	trimbaler	0		280	280	0	280	0	41.7	https://ts81.travian.com/karte.php?x=-6&y=29
327218	9	-8	5	11	WW Village	1	Natars	0		238	238	0	238	0	44.6	https://ts81.travian.com/karte.php?x=9&y=-8
316006	11	6	5	10	WW Village	1	Natars	0		238	238	0	238	0	46.5	https://ts81.travian.com/karte.php?x=11&y=6
360829	-22	-50	1	2304	01	1684	fung	0		102	102	0	87	15	50.7	https://ts81.travian.com/karte.php?x=-22&y=-50
288762	1	40	2	807	BOAS 01	537	Boasie	0		118	118	0	100	18	54.6	https://ts81.travian.com/karte.php?x=1&y=40
290369	6	38	1	641	Shahroud	390	dejavu	0		185	185	0	156	29	56.6	https://ts81.travian.com/karte.php?x=6&y=38
287964	4	41	3	808	Spirit`s village	538	Spirit	0		100	100	0	93	7	57.3	https://ts81.travian.com/karte.php?x=4&y=41
294381	13	33	2	328	01	219	GuessWho?	0		116	116	0	115	1	58.8	https://ts81.travian.com/karte.php?x=13&y=33
361650	-2	-51	1	1929	Gubbi`s village	1334	Gubbi	0		414	414	0	414	0	59.9	https://ts81.travian.com/karte.php?x=-2&y=-51
332843	27	-15	1	121	phepho`s village	113	phepho	0		131	131	0	131	0	63.6	https://ts81.travian.com/karte.php?x=27&y=-15
362457	4	-52	2	2138	BEOGRAD	1475	Laneniml	0		100	100	0	99	1	64.2	https://ts81.travian.com/karte.php?x=4&y=-52
320701	-100	0	5	7	WW Village	1	Natars	0		238	238	0	238	0	65.0	https://ts81.travian.com/karte.php?x=-100&y=0
298397	24	28	2	497	01.	306	trailerparkkids	0		106	106	0	106	0	65.7	https://ts81.travian.com/karte.php?x=24&y=28
341653	26	-26	2	589	Gronelandia	354	Alex10CA	0		279	279	0	279	0	65.9	https://ts81.travian.com/karte.php?x=26&y=-26
369655	-7	-61	2	3112	Shin`s village	2286	Shin	0		375	375	0	0	375	66.2	https://ts81.travian.com/karte.php?x=-7&y=-61
296795	24	30	2	635	01_Tropicanal	389	IlCastoDivo	0		106	106	0	84	22	66.6	https://ts81.travian.com/karte.php?x=24&y=30
355261	17	-43	3	1327	Kadesh	891	Comandante	0		223	223	0	222	1	66.8	https://ts81.travian.com/karte.php?x=17&y=-43
304009	29	21	1	368	USA	207	BIDEN	0		115	115	0	111	4	67.7	https://ts81.travian.com/karte.php?x=29&y=21
282367	14	48	3	1691	Hannibal	1208	Hannibal baraca	0		345	345	0	345	0	69.3	https://ts81.travian.com/karte.php?x=14&y=48
334451	33	-17	1	586	Combats	367	Combats.lest	0		117	117	0	117	0	69.9	https://ts81.travian.com/karte.php?x=33&y=-17
332049	34	-14	2	581	Leonhart`s village	363	Leonhart	0		409	409	0	409	0	70.2	https://ts81.travian.com/karte.php?x=34&y=-14
298402	29	28	2	743	Rebound`s village	445	Rebound	14	Gx	166	166	0	166	0	70.3	https://ts81.travian.com/karte.php?x=29&y=28
312026	36	11	3	587	C	375	Cvbnm	0		122	122	0	122	0	72.0	https://ts81.travian.com/karte.php?x=36&y=11
